Round 1 | Avg Test Reward: 0.78
Round 2 | Avg Test Reward: 0.74
Round 3 | Avg Test Reward: 0.77
Round 4 | Avg Test Reward: 0.81
Round 5 | Avg Test Reward: 0.77
Round 6 | Avg Test Reward: 0.80
Round 7 | Avg Test Reward: 0.81
Round 8 | Avg Test Reward: 0.81
Round 9 | Avg Test Reward: 0.76
Round 10 | Avg Test Reward: 0.81
Round 11 | Avg Test Reward: 0.77
Round 12 | Avg Test Reward: 0.78
Round 13 | Avg Test Reward: 0.81
Round 14 | Avg Test Reward: 0.78
Round 15 | Avg Test Reward: 0.76
Round 16 | Avg Test Reward: 0.78
Round 17 | Avg Test Reward: 0.79
Round 18 | Avg Test Reward: 0.81
Round 19 | Avg Test Reward: 0.79
Round 20 | Avg Test Reward: 0.77
Round 21 | Avg Test Reward: 0.81
Round 22 | Avg Test Reward: 0.77
Round 23 | Avg Test Reward: 0.77
Round 24 | Avg Test Reward: 0.75
Round 25 | Avg Test Reward: 0.76
Round 26 | Avg Test Reward: 0.81
Round 27 | Avg Test Reward: 0.78
Round 28 | Avg Test Reward: 0.80
Round 29 | Avg Test Reward: 0.80
Round 30 | Avg Test Reward: 0.82
